classe,precision,recall,f1,support
aviao,0.91,0.91,0.91,1000
automovel,0.96,0.95,0.95,1000
passaro,0.91,0.87,0.89,1000
gato,0.82,0.79,0.81,1000
cervo,0.87,0.90,0.89,1000
cachorro,0.87,0.81,0.84,1000
sapo,0.93,0.93,0.93,1000
cavalo,0.89,0.93,0.91,1000
navio,0.93,0.95,0.94,1000
caminhao,0.91,0.96,0.94,1000
macro avg,0.90,0.90,0.90,10000
