classe,precision,recall,f1,support
aviao,0.92,0.91,0.91,1000
automovel,0.96,0.95,0.96,1000
passaro,0.92,0.89,0.91,1000
gato,0.84,0.78,0.81,1000
cervo,0.88,0.92,0.90,1000
cachorro,0.86,0.84,0.85,1000
sapo,0.93,0.94,0.94,1000
cavalo,0.92,0.92,0.92,1000
navio,0.93,0.95,0.94,1000
caminhao,0.91,0.97,0.94,1000
macro avg,0.91,0.91,0.91,10000
