classe,precision,recall,f1,support
aviao,0.93,0.90,0.92,1000
automovel,0.96,0.94,0.95,1000
passaro,0.92,0.87,0.90,1000
gato,0.83,0.79,0.81,1000
cervo,0.84,0.92,0.88,1000
cachorro,0.87,0.82,0.84,1000
sapo,0.93,0.93,0.93,1000
cavalo,0.90,0.92,0.91,1000
navio,0.93,0.95,0.94,1000
caminhao,0.91,0.96,0.93,1000
macro avg,0.90,0.90,0.90,10000
