classe,precision,recall,f1,support
aviao,0.89,0.90,0.89,1000
automovel,0.94,0.91,0.92,1000
passaro,0.90,0.83,0.87,1000
gato,0.82,0.70,0.75,1000
cervo,0.80,0.87,0.84,1000
cachorro,0.82,0.82,0.82,1000
sapo,0.87,0.91,0.89,1000
cavalo,0.85,0.89,0.87,1000
navio,0.89,0.95,0.92,1000
caminhao,0.91,0.90,0.91,1000
macro avg,0.87,0.87,0.87,10000
