classe,precision,recall,f1,support
aviao,0.78,0.82,0.8,1000
automovel,0.92,0.77,0.84,1000
passaro,0.73,0.66,0.7,1000
gato,0.63,0.6,0.61,1000
cervo,0.7,0.7,0.7,1000
cachorro,0.65,0.68,0.67,1000
sapo,0.77,0.82,0.8,1000
cavalo,0.8,0.77,0.78,1000
navio,0.82,0.87,0.85,1000
caminhao,0.78,0.89,0.83,1000
macro avg,0.76,0.76,0.76,10000
