classe,precision,recall,f1,support
aviao,0.89,0.91,0.90,1000
automovel,0.94,0.93,0.93,1000
passaro,0.91,0.85,0.88,1000
gato,0.78,0.78,0.78,1000
cervo,0.89,0.88,0.88,1000
cachorro,0.81,0.85,0.83,1000
sapo,0.91,0.93,0.92,1000
cavalo,0.93,0.91,0.92,1000
navio,0.93,0.95,0.94,1000
caminhao,0.92,0.92,0.92,1000
macro avg,0.89,0.89,0.89,10000
