classe,precision,recall,f1,support
aviao,0.75,0.88,0.81,1000
automovel,0.90,0.86,0.88,1000
passaro,0.82,0.71,0.76,1000
gato,0.71,0.69,0.70,1000
cervo,0.74,0.74,0.74,1000
cachorro,0.77,0.78,0.77,1000
sapo,0.79,0.84,0.82,1000
cavalo,0.84,0.83,0.83,1000
navio,0.91,0.86,0.88,1000
caminhao,0.87,0.89,0.88,1000
macro avg,0.81,0.81,0.81,10000
