classe,precision,recall,f1,support
aviao,0.92,0.89,0.90,1000
automovel,0.96,0.95,0.95,1000
passaro,0.94,0.85,0.89,1000
gato,0.85,0.75,0.80,1000
cervo,0.85,0.92,0.89,1000
cachorro,0.87,0.83,0.85,1000
sapo,0.90,0.94,0.92,1000
cavalo,0.90,0.92,0.91,1000
navio,0.90,0.96,0.93,1000
caminhao,0.90,0.96,0.93,1000
macro avg,0.90,0.90,0.90,10000
